action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
9852,286.5,1,0,0,0,0.53,0.44,0.57,0.51,2,0,0,1,1.5,1.5
9853,288,1,0,0,0,0.55,0.57,0.58,0.54,2,0,0,1,1.5,1.5
9854,288.5,1,0,0,0,0.46,0.48,0.39,0.31,2,1,0,0,0,0
9855,288,1,0,0,0,1,0.96,0.94,0.91,2,0,0,1,1.5,1.5
9856,289.5,1,0,0,0,0.6,0.57,0.54,0.45,2,0,0,1,3,1.5
9857,291,1,0,0,0,0.43,0.41,0.36,0.47,2,0,0,1,291.5,1.5
9858,291.5,1,0,0,0,0.9,0.75,0.7,0.63,2,0,0,1,22.5,8.5
9859,50,1,0,0,0,0,0.16,0.15,0.19,4,0,0,1,1.5,1.5
9860,51.5,1,0,0,0,0.06,0.11,0.1,0.11,5,0,0,1,1.5,1.5
9861,53,1,0,0,0,0.04,0.21,0.17,0.25,6,1,0,0,0,0
9862,53,1,0,0,0,0.35,0.44,0.36,0.4,2,1,0,0,0,0
9863,53,1,0,0,0,0.19,0.28,0.35,0.29,3,0,0,1,1.5,1.5
9864,54.5,1,0,0,0,0.33,0.25,0.23,0.25,4,0,0,1,3,1.5
9865,56,1,0,0,0,0,0.12,0.12,0.12,5,0,0,1,56,1.5
9866,57.5,1,0,0,0,0.1,0.09,0.22,0.13,6,1,0,0,0,0
9867,57.5,1,0,0,0,0,0.18,0.18,0.15,3,1,0,0,0,0
9868,57.5,1,0,0,0,0.02,0.22,0.22,0.25,3,0,0,1,57.5,1.5
9869,59,1,0,0,0,0,0.15,0.2,0.21,4,0,0,1,1.5,1.5
9870,60.5,1,0,0,0,0.03,0.19,0.14,0.12,5,1,0,0,0,0
9871,60.5,1,0,0,0,0.24,0.19,0.25,0.23,6,0,0,1,60.5,1.5
9872,62,1,0,0,0,0.12,0.3,0.26,0.27,3,1,0,0,0,0
9873,62,1,0,0,0,0.52,0.34,0.28,0.32,3,1,0,0,0,0
9874,62,1,0,0,0,0.07,0.19,0.22,0.14,4,1,0,0,0,0
9875,62,1,0,0,0,0.44,0.23,0.22,0.17,5,1,0,0,0,0
9876,62,1,0,0,0,0,0.05,0.07,0.15,6,0,0,1,3,1.5
9877,62.5,1,0,0,0,0.44,0.57,0.42,0.45,2,0,0,1,13.5,4.5
9878,66.5,1,0,0,0,0.38,0.51,0.59,0.55,2,0,0,1,3,1.5
9879,68,1,0,0,0,0.28,0.28,0.41,0.35,3,0,0,1,1.5,1.5
9880,69.5,1,0,0,0,0.03,0.18,0.2,0.21,4,1,0,0,0,0
9881,69.5,1,0,0,0,0.24,0.12,0.21,0.18,5,1,0,0,0,0
9882,69.5,1,0,0,0,0,0.08,0.1,0.21,6,0,0,1,1.5,1.5
9883,71,1,0,0,0,0.91,0.75,0.64,0.62,2,1,0,0,0,0
9884,71,1,0,0,0,0.01,0.2,0.23,0.25,4,1,0,0,0,0
9885,71,1,0,0,0,0.2,0.3,0.32,0.18,4,0,0,1,71,1.5
9886,72.5,1,0,0,0,0,0.25,0.14,0.1,5,1,0,0,0,0
9887,72.5,1,0,0,0,0,0.09,0.13,0.16,6,0,0,1,72.5,1.5
9888,74,1,0,0,0,0.9,0.48,0.47,0.25,3,0,0,1,9,4.5
9889,78.5,1,0,0,0,0.03,0.17,0.25,0.16,4,1,0,0,0,0
9890,78.5,1,0,0,0,0.73,0.4,0.36,0.37,4,0,0,1,3,-41
9891,75.5,1,0,0,0,0.92,0.66,0.7,0.74,2,0,0,1,78.5,-41
